query_id,category,status,routing_success,expected_sequence_success,tool_calls,successful_tools,invalid_tools,recommendations,raw_fully_grounded,raw_validation_errors,delivered_fully_grounded,constraint_query,constrained_recommendations,constraint_valid_recommendations,constraint_query_answered_correctly,unsupported_query,unsupported_acknowledged,api_calls,cache_hits,total_ms,retrieval_ms,all_tools_ms,llm_wall_ms,llm_api_ms
agent_22,image_plus_filter,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,0,2,11.194124992471188,10.237000009510666,10.37221000296995,0.6198319606482983,0
agent_23,image_plus_filter,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,0,2,11.700208007823676,9.926749975420535,10.046918003354222,1.439457933884114,0
agent_24,image_plus_filter,abstained,True,True,2,2,0,0,False,0,False,True,0,0,False,False,False,0,1,10.455792013090104,9.902958001475781,10.01087500480935,0.2691670088097453,0
agent_25,comparison,answered,True,True,4,4,0,3,True,0,True,True,3,3,True,True,True,0,2,1.1247919755987823,0.37037499714642763,0.3992080455645919,0.5342090153135359,0
agent_26,comparison,answered,True,True,6,6,0,3,True,0,True,True,3,3,True,False,False,0,2,1.5382919809781015,0.7582079851999879,0.8389989961870015,0.5632090033032,0
agent_27,comparison,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,0,2,1.4226660132408142,0.46204199315980077,0.49929198576137424,0.7559999939985573,0
agent_28,comparison,answered,True,True,4,4,0,2,True,0,True,True,2,2,True,False,False,0,2,2.314375014975667,0.38291700184345245,0.4161260440014303,1.740792067721486,0
agent_29,comparison,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,0,2,1.072834013029933,0.3106250078417361,0.34966703969985247,0.5474580684676766,0
agent_30,comparison,answered,True,True,6,6,0,1,True,0,True,True,1,1,True,True,True,0,2,1.3966670376248658,0.659543031360954,0.753960048314184,0.4943329840898514,0
agent_31,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,0,2,1.8604170181788504,0.3867920022457838,0.4097510245628655,1.291249063797295,0
agent_32,unsupported_constraint,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,True,True,0,2,1.3074579765088856,0.5920000257901847,0.6623340304940939,0.5018329829908907,0
agent_33,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,0,2,1.1063330457545817,0.3576249582692981,0.3814169322140515,0.5742079811170697,0
agent_34,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,0,2,2.6245000190101564,0.4124160041101277,0.4262910224497318,2.038415987044573,0
agent_35,unsupported_constraint,abstained,True,True,4,4,0,0,False,0,False,True,0,0,False,True,True,0,1,1.067750039510429,0.5740410415455699,0.6206250400282443,0.2951670321635902,0
agent_36,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,0,2,1.0650000185705721,0.34074997529387474,0.3635419998317957,0.545124989002943,0
